product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate
h323;off;tls;on;auto;silk-24000;vp8;360;off;on;1052;4827;3102;1231;irc;off;auto;off;auto;auto;vp8;480;on;off;672;2558;295;4109
sip;off;tls;on;auto;silk-24000;vp8;240;on;on;1052;4827;1143;1231;irc;off;auto;off;auto;silk-16000;vp8;480;on;on;938;2558;113;3946
iptel.org;on;tls;off;auto;silk-16000;red;720;on;on;957;4827;1884;1231;irc;on;auto;off;auto;silk-12000;rtx;240;on;off;854;2592;369;4109
irc;off;tls;on;auto;silk-24000;red;480;off;on;929;4827;3111;2422;irc;off;auto;off;auto;silk-8000;rtx;480;on;off;1114;4166;269;283
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;957;4827;1601;1231;irc;on;auto;on;auto;pcmu-8000;vp8;240;on;off;549;2558;208;4109
irc;off;tls;on;auto;silk-24000;h264;480;on;on;1052;4827;3102;1231;irc;off;auto;off;auto;speex-32000;vp8;480;on;off;1114;4418;113;3946
irc;off;tls;on;auto;silk-24000;auto;720;off;off;1052;4827;2576;1231;irc;off;auto;on;auto;pcmu-8000;rtx;480;on;off;930;2592;295;3946
iptel.org;off;tls;on;auto;silk-24000;vp8;240;off;on;957;4827;3933;1231;irc;off;auto;off;auto;speex-32000;vp8;480;on;off;525;2878;246;2298
aim;off;tls;on;auto;silk-24000;vp8;720;off;on;957;4827;3102;1231;irc;off;auto;on;auto;silk-8000;vp8;480;on;off;525;3847;246;3946
h323;off;tls;on;auto;silk-24000;vp8;480;off;on;1052;4827;3102;1231;irc;on;auto;besteffort;auto;speex-32000;vp8;240;on;off;938;2695;113;3946
sip;off;tls;on;auto;silk-24000;vp8;480;off;on;957;4827;3111;1231;irc;off;auto;on;auto;speex-32000;vp8;480;on;off;938;2558;208;4109
iptel.org;off;tls;off;auto;amr-wb-16000;red;480;off;on;1049;4827;3933;1727;icq;off;auto;off;auto;silk-24000;rtx;1080;on;on;502;3847;246;3946
iptel.org;off;tls;on;auto;silk-24000;red;480;on;on;957;4827;3102;1231;irc;on;auto;off;auto;pcma-8000;rtx;480;on;off;1001;717;113;3946
iptel.org;on;tls;off;auto;amr-wb-16000;red;1080;on;off;1206;4827;3933;318;icq;off;auto;off;auto;silk-24000;rtx;1080;on;off;930;2592;295;3901
iptel.org;on;tls;off;auto;pcma-8000;red;480;on;on;1049;4827;2936;1231;icq;off;auto;off;auto;silk-12000;rtx;720;on;on;918;2564;113;3946
irc;off;tls;off;auto;silk-24000;red;240;off;off;1049;4827;1834;1231;irc;off;auto;on;auto;silk-8000;vp8;480;on;off;502;2564;113;3946
iptel.org;on;tls;off;auto;pcma-8000;h264;480;off;off;705;4827;3933;2932;icq;off;udp;off;true;telephone-event-80000;rtx;1080;on;off;936;3867;84;867
iptel.org;off;tls;on;auto;silk-24000;auto;480;off;on;957;4827;3686;2422;irc;off;auto;off;auto;speex-32000;h264;480;on;off;792;3518;113;2298
irc;off;tls;on;auto;silk-24000;rtx;480;on;on;957;4827;1834;1231;h323;off;auto;on;auto;speex-32000;vp8;480;on;off;957;2558;295;4109
aim;off;tls;on;auto;silk-24000;vp8;240;off;on;957;4827;2465;1231;irc;off;auto;on;auto;silk-8000;vp8;480;on;off;525;3847;246;3946
iptel.org;off;tls;on;auto;silk-24000;vp8;360;off;on;1052;4827;3102;1231;irc;on;auto;on;auto;speex-16000;vp8;480;on;off;1001;2564;113;3946
iptel.org;on;tls;off;auto;silk-16000;red;720;on;on;957;4827;1884;1231;irc;on;auto;off;auto;silk-12000;rtx;240;on;off;1201;2592;369;4109
sip;off;tls;on;auto;silk-24000;vp8;1080;off;on;1041;4827;3102;1231;irc;on;auto;off;auto;pcma-8000;vp8;480;on;off;1004;4182;113;4109
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;767;4827;3102;1231;irc;on;auto;on;auto;silk-24000;vp8;480;on;off;604;2564;113;3946
iptel.org;on;tls;off;auto;pcma-8000;h264;480;on;on;1052;4954;1601;302;irc;off;auto;off;auto;amr-wb-16000;vp8;480;on;off;938;3724;208;4109
iptel.org;on;tls;off;auto;pcma-8000;red;720;off;off;1049;4827;4494;2511;icq;off;udp;off;true;telephone-event-80000;rtx;1080;on;on;1139;3570;84;1924
irc;off;tls;on;auto;silk-24000;red;720;off;off;1049;4827;3768;1542;icq;off;auto;off;auto;silk-12000;rtx;1080;on;off;1395;3997;369;4109
iptel.org;off;tls;on;auto;silk-24000;red;480;off;on;1049;4827;4494;1542;icq;off;auto;off;auto;silk-12000;rtx;1080;on;off;938;2558;113;3946
h323;off;tls;on;auto;silk-24000;vp8;480;off;on;862;4827;1601;1801;irc;on;auto;off;auto;amr-wb-16000;vp8;480;on;off;1001;2564;113;3946
iptel.org;on;tls;off;auto;pcma-8000;h264;480;on;on;1049;4827;2912;1231;irc;off;auto;off;auto;speex-32000;vp8;1080;on;off;1001;2564;113;3946
irc;off;tls;on;auto;pcma-8000;red;480;on;on;1049;4827;2936;1231;icq;off;auto;off;auto;silk-12000;rtx;720;on;on;918;2564;113;3946
sip;off;tls;on;auto;silk-24000;red;240;off;on;957;4827;2760;1231;irc;off;auto;off;auto;silk-8000;ulpfec;480;on;off;938;2695;113;3946
irc;off;tls;on;auto;silk-24000;vp8;240;off;on;957;4827;3111;2422;irc;off;auto;off;auto;speex-32000;ulpfec;480;on;off;564;4182;369;3611
iptel.org;on;tls;off;auto;amr-wb-16000;red;480;off;on;1484;4827;4793;318;icq;off;udp;off;true;ilbc-8000;rtx;1080;on;on;1361;3857;269;1923
irc;off;tls;on;auto;silk-24000;ulpfec;360;off;on;957;4827;1601;1231;irc;on;auto;on;auto;speex-32000;vp8;480;on;off;1029;3866;246;3946
iptel.org;off;tls;on;auto;silk-24000;red;480;off;on;929;4827;3111;2422;irc;off;auto;off;auto;silk-8000;rtx;1080;on;off;930;2592;295;3901
iptel.org;off;tls;on;auto;silk-24000;rtx;240;off;on;957;4827;3111;2422;irc;off;auto;off;auto;speex-32000;h264;480;on;off;938;3724;208;4109
irc;off;tls;on;auto;opus-48000;auto;480;off;on;1185;4575;1601;1231;irc;off;auto;on;auto;g722-16000;vp8;480;on;off;525;2564;113;3946
iptel.org;on;tls;off;auto;pcma-8000;red;480;on;on;1049;4827;2936;1231;icq;off;auto;off;auto;silk-12000;rtx;1080;on;on;918;2564;113;3946
iptel.org;off;tls;off;auto;amr-wb-16000;red;1080;on;off;1206;4827;3933;318;irc;off;udp;off;true;ilbc-8000;rtx;1080;on;on;1001;2564;208;315
iptel.org;off;tls;on;auto;silk-24000;vp8;720;off;on;1185;4827;1834;1231;irc;on;auto;on;auto;telephone-event-80000;ulpfec;240;on;off;938;2558;208;4109
