product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
irc;off;tls;on;auto;opus-48000;vp8;240;off;on;1103;4728;1688;1878;irc;off;auto;on;auto;silk-8000;vp8;480;on;off;764;2607;51;3851;Failed
aim;off;tcp;on;auto;silk-24000;auto;720;off;on;1103;4728;2342;1155;irc;off;auto;on;auto;amr-wb-16000;vp8;1080;on;off;778;4776;63;3875;Failed
irc;off;tls;on;auto;silk-24000;vp8;240;off;on;1103;4728;1688;1878;irc;off;auto;on;auto;amr-wb-16000;vp8;480;on;off;644;2843;465;1563;Failed
irc;off;tls;on;auto;silk-24000;auto;240;off;on;1145;4815;1688;750;irc;off;auto;on;auto;amr-wb-16000;vp8;240;on;off;595;2607;51;4112;Connected
sip;off;tls;on;auto;silk-24000;vp8;240;on;on;1103;4916;3514;1313;h323;off;auto;on;auto;silk-16000;vp8;480;on;off;758;2957;205;4112;Failed
sip;on;tls;on;auto;silk-24000;vp8;360;off;off;1103;4728;1688;1878;irc;off;auto;on;auto;amr-wb-16000;vp8;480;on;off;644;2843;465;1563;Failed
iptel.org;off;tls;on;auto;silk-24000;red;480;off;on;604;4916;3259;2361;irc;off;auto;off;auto;opus-48000;ulpfec;480;on;off;595;4672;418;4112;Failed
sip;off;tls;on;auto;silk-24000;red;480;off;on;1103;4728;1688;1878;irc;on;auto;on;auto;pcmu-8000;vp8;480;on;off;1009;2607;51;2371;Failed
irc;off;tls;on;auto;silk-24000;vp8;480;on;on;1103;4916;3674;1878;irc;on;auto;on;auto;silk-16000;vp8;480;on;off;974;4753;51;3851;Failed
iptel.org;on;tls;off;auto;amr-wb-16000;red;480;on;on;954;4694;1110;1333;icq;off;auto;off;auto;silk-24000;rtx;1080;on;on;974;2329;418;4112;Failed
sip;on;tls;on;auto;silk-24000;vp8;240;off;on;604;4728;2264;1878;irc;on;auto;on;auto;silk-16000;vp8;240;on;off;974;2607;51;4112;Failed
iptel.org;on;tls;off;auto;amr-wb-16000;red;720;off;off;1145;4943;4947;3792;icq;on;udp;off;false;silk-24000;rtx;1080;on;off;1312;4776;63;1353;Failed
h323;off;tls;on;auto;silk-24000;vp8;240;on;on;578;4728;2887;750;irc;off;auto;off;auto;gsm-8000;vp8;480;on;off;657;2607;51;3851;Failed
iptel.org;on;tls;off;auto;amr-wb-16000;h264;480;on;on;954;4694;1110;1333;icq;off;auto;off;auto;silk-24000;rtx;1080;on;on;974;2329;418;4112;Connected
irc;off;tls;on;auto;speex-8000;auto;1080;off;on;1103;4916;2913;750;irc;off;auto;on;auto;gsm-8000;vp8;240;on;off;974;2329;418;4112;Failed
irc;off;tls;on;auto;silk-24000;vp8;240;off;on;1103;4728;1688;1878;irc;on;auto;on;auto;ilbc-8000;vp8;240;on;off;595;2978;63;3732;Failed
sip;on;tls;on;auto;silk-24000;vp8;240;off;on;1103;4728;3541;750;irc;off;auto;off;auto;pcma-8000;ulpfec;1080;on;off;716;2607;51;3851;Failed
iptel.org;off;tcp;off;auto;amr-wb-16000;h264;480;on;on;1145;4943;3739;139;icq;on;auto;off;auto;silk-24000;rtx;1080;on;off;778;4776;63;3875;Connected
sip;on;tls;on;auto;silk-24000;vp8;240;off;on;1059;4916;2913;2535;irc;off;auto;off;auto;amr-wb-16000;ulpfec;480;on;off;1227;2843;465;1563;Failed
irc;off;tls;on;auto;silk-24000;red;1080;on;on;906;4694;4809;1333;irc;on;auto;on;auto;speex-8000;ulpfec;1080;on;off;974;2715;51;3851;Connected
sip;off;tls;on;auto;silk-24000;rtx;240;off;on;1083;4943;2351;1074;irc;off;auto;besteffort;auto;ilbc-8000;vp8;480;on;off;878;2638;51;3911;Failed
sip;off;tls;on;auto;silk-24000;vp8;360;off;off;1103;4728;1688;1878;irc;off;auto;on;auto;silk-24000;ulpfec;480;on;off;974;2607;51;4112;Failed
aim;off;tls;on;auto;silk-24000;vp8;240;on;on;1103;4728;1688;1878;h323;off;auto;besteffort;auto;gsm-8000;vp8;240;on;off;974;2607;51;3851;Failed
iptel.org;off;tls;on;auto;silk-24000;red;480;off;on;1059;4916;2913;2535;irc;off;auto;off;auto;amr-wb-16000;ulpfec;480;on;off;1088;2607;51;3851;Failed
irc;off;tls;on;auto;silk-24000;auto;240;off;on;1103;4916;3355;750;irc;off;auto;on;auto;silk-16000;vp8;240;on;off;974;2607;51;3851;Failed
irc;on;tcp;on;auto;opus-48000;red;480;off;on;1103;4916;3355;987;irc;off;auto;off;auto;speex-8000;h264;1080;on;off;897;2655;63;3875;Failed
irc;off;tls;off;auto;silk-16000;red;480;off;on;1103;4916;1688;943;irc;on;auto;off;auto;auto;rtx;1080;on;off;1499;2638;63;1270;Failed
iptel.org;off;tls;on;auto;silk-24000;red;480;off;on;1059;4916;2913;2535;irc;off;auto;off;auto;amr-wb-16000;ulpfec;480;on;off;644;2843;465;1563;Failed
sip;off;tls;on;auto;silk-24000;vp8;240;on;on;1045;4728;1688;1878;irc;off;auto;on;auto;silk-8000;vp8;240;on;off;663;2607;51;4112;Failed
googletalk;off;tls;on;auto;silk-24000;h264;240;on;on;1103;4728;1688;1878;h323;off;auto;besteffort;auto;silk-16000;vp8;240;on;off;928;2607;51;3851;Failed
irc;off;tls;off;auto;speex-16000;red;480;off;on;1145;4818;1688;1878;irc;off;auto;on;auto;silk-16000;rtx;1080;on;off;1222;3323;51;3894;Failed
irc;off;tls;on;auto;silk-24000;red;240;off;on;604;4728;2264;1912;irc;off;auto;on;auto;silk-16000;vp8;240;on;off;595;2607;51;4112;Failed
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;857;4728;1772;879;irc;on;auto;on;auto;g722-16000;vp8;1080;on;off;974;2607;205;1513;Failed
irc;off;tls;on;auto;silk-24000;vp8;480;on;on;1103;4916;2439;943;irc;on;auto;off;auto;pcma-8000;vp8;480;on;off;974;2607;51;3851;Failed
sip;on;tls;on;auto;silk-24000;vp8;240;off;on;1103;4728;1688;1878;irc;on;auto;on;auto;pcmu-8000;vp8;480;on;off;1009;2607;51;2371;Failed
irc;off;tls;on;false;auto;red;480;on;on;1145;4943;1688;943;irc;on;auto;off;auto;g722-16000;ulpfec;480;on;off;974;2329;418;3851;Failed
irc;off;tls;on;auto;silk-24000;red;720;off;off;1103;4916;3514;1313;irc;off;auto;off;auto;opus-48000;ulpfec;480;on;off;974;2607;51;3851;Failed
aim;off;tls;on;auto;silk-24000;vp8;480;on;on;1103;4728;1688;1878;irc;off;auto;on;auto;pcma-8000;vp8;480;on;off;974;3197;51;4112;Failed
iptel.org;off;tls;on;auto;opus-48000;red;480;off;on;1103;4943;1688;943;irc;on;auto;off;auto;silk-24000;rtx;1080;on;off;974;4013;51;3851;Failed
irc;on;tls;on;auto;silk-24000;auto;480;off;off;1103;4916;3259;750;irc;off;auto;off;auto;silk-16000;vp8;480;on;off;974;3197;51;948;Failed
iptel.org;off;tls;off;auto;silk-24000;red;720;on;on;1174;4943;1688;943;irc;on;auto;off;auto;auto;rtx;1080;on;off;1040;2655;205;3777;Connected
