product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
googletalk;off;udp;on;false;gsm-8000;ulpfec;480;on;on;1172;3429;246;3305;icq;off;udp;off;auto;opus-48000;red;480;on;on;1208;3959;2983;2506;Failed
iptel.org;on;auto;off;false;amr-wb-16000;h264;1080;on;off;890;4972;1669;821;iptel.org;on;udp;on;true;silk-16000;rtx;480;on;on;799;588;3114;1466;Failed
iptel.org;off;udp;off;auto;opus-48000;ulpfec;720;off;on;919;1763;3684;2822;sip;off;tcp;off;true;opus-48000;h264;240;on;on;572;4663;4110;4557;Connected
iptel.org;on;udp;off;auto;auto;rtx;360;on;off;1062;2103;3979;2832;ippi;on;tcp;on;false;amr-wb-16000;vp8;1080;on;off;1116;862;1122;1512;Failed
sip;on;udp;besteffort;auto;pcmu-8000;rtx;720;on;off;526;3114;2228;72;sip;off;tls;on;true;pcmu-8000;ulpfec;1080;off;off;847;3764;4704;3070;Failed
googletalk;off;tls;off;auto;speex-16000;auto;1080;on;on;879;2848;4543;1829;h323;on;auto;on;auto;silk-8000;ulpfec;360;on;on;771;754;1395;4292;Failed
aim;on;udp;besteffort;auto;telephone-event-80000;auto;240;on;off;919;4905;638;849;aim;off;udp;off;auto;silk-16000;vp8;240;on;on;786;1908;1481;750;Failed
irc;off;tls;off;true;silk-12000;auto;720;off;on;659;4425;410;4842;icq;off;udp;on;false;speex-16000;red;240;on;off;1374;601;1653;3342;Failed
iptel.org;on;tls;on;true;speex-32000;red;360;on;on;677;439;3039;3090;sip;on;auto;besteffort;auto;pcma-8000;vp8;360;on;on;1326;4035;3419;2563;Failed
aim;off;tcp;off;true;ilbc-8000;h264;360;on;on;987;1687;2055;3092;iptel.org;on;udp;on;false;silk-12000;h264;240;on;off;1172;1652;3160;1937;Failed
h323;on;tls;on;true;silk-24000;auto;240;on;off;652;3727;4102;4850;aim;on;udp;off;auto;speex-16000;ulpfec;1080;off;on;654;1445;1276;2385;Failed
googletalk;off;udp;on;true;ilbc-8000;auto;1080;on;off;792;4208;3590;1868;h323;off;tls;off;true;silk-16000;ulpfec;480;on;on;739;3380;928;2211;Failed
googletalk;off;udp;off;false;opus-48000;vp8;1080;off;on;609;4120;3744;2149;icq;on;auto;on;auto;pcma-8000;red;480;off;on;873;1850;2390;1280;Failed
icq;on;tcp;on;false;silk-12000;vp8;1080;on;on;1364;1350;932;1833;googletalk;off;auto;on;false;silk-12000;ulpfec;240;off;on;1116;483;793;2103;Failed
icq;off;tcp;off;auto;silk-12000;red;1080;on;off;856;4573;2031;3683;irc;off;udp;on;true;telephone-event-80000;ulpfec;720;on;off;836;2122;2785;2765;Failed
irc;on;udp;off;false;telephone-event-80000;ulpfec;1080;on;on;603;400;1109;471;h323;on;udp;besteffort;auto;pcma-8000;rtx;360;on;off;878;4617;3130;2884;Connected
irc;off;udp;on;auto;silk-8000;ulpfec;480;off;off;515;2507;1661;3490;irc;off;tls;on;true;silk-24000;auto;1080;off;on;1214;1761;1529;3199;Connected
irc;off;auto;off;true;silk-24000;ulpfec;480;off;off;710;523;1783;290;aim;off;tls;besteffort;false;telephone-event-80000;rtx;720;on;off;1494;2649;2624;4765;Connected
h323;off;tls;off;true;speex-8000;vp8;480;on;on;974;4215;2494;4111;ippi;on;udp;off;false;amr-wb-16000;rtx;240;off;on;1236;1754;2275;4388;Failed
sip;off;tcp;besteffort;auto;pcma-8000;h264;1080;on;off;552;4717;1555;1727;sip;off;udp;besteffort;true;pcmu-8000;rtx;1080;off;off;961;3575;4281;2573;Failed
irc;on;udp;besteffort;auto;telephone-event-80000;rtx;720;on;off;1065;1176;691;2415;ippi;off;tcp;off;true;speex-16000;rtx;1080;off;off;516;3437;695;2667;Connected
aim;off;udp;on;false;pcmu-8000;h264;720;off;off;1269;2152;1185;491;irc;off;tls;besteffort;auto;silk-12000;ulpfec;240;off;off;1414;4185;4051;4804;Connected
icq;off;udp;on;false;telephone-event-80000;red;240;off;on;839;4480;4037;923;aim;off;tcp;on;false;pcma-8000;auto;240;off;off;1139;2176;2618;2731;Failed
googletalk;on;tls;on;true;silk-24000;red;360;off;off;667;207;681;762;aim;on;udp;besteffort;true;ilbc-8000;ulpfec;1080;off;off;703;3889;240;4492;Failed
ippi;off;tcp;besteffort;auto;silk-8000;rtx;480;on;on;1116;4984;2097;4142;icq;on;udp;on;false;ilbc-8000;ulpfec;360;on;on;807;4142;4406;828;Failed
iptel.org;off;auto;on;true;ilbc-8000;red;1080;on;off;1192;3614;3715;866;aim;off;tcp;besteffort;true;auto;auto;480;on;on;527;1121;1155;4646;Failed
googletalk;off;tls;besteffort;false;speex-32000;ulpfec;720;on;on;1355;1507;4653;3531;sip;off;udp;off;auto;pcma-8000;red;240;on;off;1024;1647;2339;1067;Failed
irc;on;tcp;on;auto;ilbc-8000;rtx;1080;on;on;1483;1594;2639;2049;googletalk;off;udp;besteffort;true;silk-24000;rtx;360;on;on;1385;2991;3004;957;Connected
ippi;on;udp;off;true;speex-16000;h264;720;on;off;1282;4240;3448;724;googletalk;on;udp;on;true;silk-12000;ulpfec;240;on;on;796;4686;2244;3449;Failed
aim;off;tcp;off;auto;gsm-8000;ulpfec;480;on;on;550;329;982;3405;aim;on;udp;on;false;opus-48000;auto;480;on;off;748;1639;211;4825;Failed
