product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
googletalk;off;tcp;off;auto;silk-12000;auto;1080;off;off;823;4500;970;197;irc;off;auto;besteffort;auto;auto;auto;360;on;off;520;4604;400;4733;Failed
googletalk;on;auto;off;auto;pcmu-8000;h264;1080;on;off;1275;897;1830;3224;ippi;off;tls;off;true;speex-8000;ulpfec;1080;on;on;548;3451;3633;459;Failed
googletalk;on;auto;off;auto;pcmu-8000;h264;1080;on;off;1490;1769;251;3072;ippi;off;auto;off;false;speex-8000;ulpfec;1080;on;on;520;3451;400;518;Failed
googletalk;off;auto;off;auto;pcmu-8000;auto;1080;off;off;907;897;2684;3113;iptel.org;off;tls;off;true;pcmu-8000;auto;360;off;on;520;4604;400;4333;Failed
googletalk;off;auto;on;auto;gsm-8000;auto;1080;off;off;971;4500;970;197;h323;off;auto;besteffort;auto;auto;auto;360;on;on;527;4778;400;4333;Failed
sip;on;auto;besteffort;true;speex-8000;vp8;1080;off;off;971;4500;970;197;iptel.org;off;auto;besteffort;auto;auto;vp8;360;on;off;524;4947;242;4180;Failed
googletalk;on;tcp;off;auto;amr-wb-16000;vp8;1080;off;off;823;4500;970;197;irc;off;auto;besteffort;auto;auto;auto;360;on;on;527;4778;400;4333;Failed
aim;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;538;4500;1283;3113;ippi;off;auto;off;true;pcma-8000;auto;360;off;off;520;4604;400;4333;Failed
aim;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;1670;1277;767;iptel.org;on;auto;off;false;ilbc-8000;ulpfec;720;on;on;535;4805;400;4194;Failed
aim;off;auto;off;auto;pcmu-8000;auto;1080;on;off;942;1576;520;197;ippi;off;auto;off;true;pcma-8000;auto;360;on;on;535;3451;400;4333;Connected
googletalk;off;tcp;off;auto;silk-12000;auto;1080;on;off;971;4500;970;197;h323;off;auto;off;auto;auto;auto;360;on;off;520;4604;400;4733;Failed
