product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
icq;on;tls;off;false;silk-24000;vp8;360;off;on;1438;4604;228;2107;aim;off;auto;besteffort;false;speex-32000;auto;480;on;on;1111;413;869;309;Failed
ippi;on;tcp;off;false;silk-8000;ulpfec;720;on;on;984;2959;2350;2927;iptel.org;on;tcp;off;auto;gsm-8000;auto;720;off;on;680;4581;1248;3441;Failed
iptel.org;off;tcp;on;false;speex-8000;red;480;off;on;1213;3972;3764;3200;h323;off;udp;off;true;silk-24000;rtx;360;on;off;525;1663;2678;2345;Failed
googletalk;on;tcp;off;true;speex-16000;vp8;720;off;on;1035;620;2899;2999;aim;off;tls;on;auto;pcma-8000;rtx;360;off;on;622;2935;1601;1547;Failed
aim;on;udp;off;true;pcma-8000;rtx;480;off;on;785;640;2498;2178;googletalk;off;tcp;on;true;pcma-8000;vp8;480;off;off;772;3806;4218;4298;Failed
ippi;on;tls;on;auto;silk-12000;h264;720;on;on;1268;3968;4279;3971;iptel.org;on;tcp;besteffort;auto;g722-16000;vp8;1080;on;on;1212;4556;2059;4505;Failed
googletalk;on;udp;on;auto;speex-16000;ulpfec;360;off;off;1393;1498;916;1985;icq;off;tls;besteffort;auto;pcmu-8000;auto;240;off;off;799;3380;3186;1314;Failed
googletalk;off;tcp;off;true;g722-16000;auto;360;off;on;1380;548;4542;2913;googletalk;on;udp;off;false;gsm-8000;vp8;1080;off;on;781;179;1699;1363;Failed
sip;off;tcp;on;auto;opus-48000;red;360;on;off;813;1309;4212;2015;h323;on;tcp;off;false;amr-wb-16000;rtx;1080;on;on;1212;624;1669;2180;Failed
sip;off;tls;on;true;speex-16000;ulpfec;240;off;on;1130;2309;224;4506;ippi;on;auto;off;true;auto;red;720;on;off;1067;1424;3287;4508;Failed
ippi;off;tcp;on;true;ilbc-8000;red;720;off;on;1177;3060;2396;3291;sip;off;tcp;off;false;speex-32000;h264;480;on;off;544;4519;606;1745;Failed
ippi;off;tls;on;auto;telephone-event-80000;vp8;360;on;off;965;3915;2177;3045;ippi;on;udp;on;true;silk-16000;h264;480;off;on;1498;3543;1707;748;Failed
h323;off;tls;on;false;g722-16000;ulpfec;360;off;off;1274;2237;1533;1960;aim;off;auto;off;true;amr-wb-16000;h264;480;on;off;1115;206;1486;1336;Failed
ippi;off;auto;besteffort;true;ilbc-8000;red;360;on;off;1497;633;2187;1888;sip;off;tcp;on;true;opus-48000;red;1080;off;off;552;4582;2759;3173;Connected
ippi;on;tls;off;auto;g722-16000;vp8;240;off;off;668;834;3084;2327;googletalk;on;udp;besteffort;true;silk-12000;auto;480;on;off;818;1847;1332;4177;Failed
h323;off;udp;on;auto;gsm-8000;auto;480;off;on;1465;1344;233;1925;h323;off;tls;on;true;g722-16000;h264;480;off;on;769;2572;4105;1104;Connected
iptel.org;on;auto;besteffort;false;gsm-8000;vp8;480;off;on;1266;1703;1716;1247;ippi;on;udp;on;true;speex-16000;h264;360;on;off;1342;961;352;4929;Failed
ippi;on;udp;on;false;g722-16000;ulpfec;720;off;on;1406;4808;4933;2994;h323;on;auto;off;true;amr-wb-16000;auto;720;off;on;906;1868;4170;2715;Failed
ippi;on;udp;besteffort;false;silk-24000;auto;240;off;off;537;4518;1279;4778;aim;off;auto;off;true;opus-48000;red;1080;off;off;1043;4497;794;3743;Connected
sip;on;auto;besteffort;true;auto;h264;720;on;off;552;2342;1117;4501;h323;on;udp;besteffort;auto;telephone-event-80000;vp8;1080;off;on;849;963;2591;3826;Failed
icq;off;udp;off;false;speex-8000;ulpfec;480;off;on;555;3789;3158;395;ippi;on;tcp;off;auto;silk-24000;ulpfec;240;on;on;1032;3611;4934;3856;Connected
aim;off;tls;on;auto;silk-8000;auto;240;on;off;994;807;2392;3505;iptel.org;off;udp;on;true;ilbc-8000;rtx;240;on;on;949;540;382;574;Failed
ippi;off;udp;off;auto;silk-16000;rtx;240;off;on;874;1379;4259;4704;aim;on;tcp;on;false;silk-12000;red;240;off;on;1076;2655;2718;1928;Failed
icq;on;udp;besteffort;true;amr-wb-16000;rtx;360;off;off;559;1229;4902;655;irc;off;auto;off;true;gsm-8000;ulpfec;1080;off;on;1150;415;1064;2576;Failed
googletalk;off;udp;on;true;silk-16000;auto;1080;on;off;682;2888;154;2674;aim;off;tcp;off;false;gsm-8000;red;240;off;off;792;2382;2601;738;Failed
googletalk;on;tcp;on;auto;ilbc-8000;h264;240;on;off;890;3407;2208;1754;googletalk;off;udp;on;auto;speex-16000;h264;720;off;on;1204;4174;1220;4724;Failed
icq;off;udp;on;auto;silk-12000;ulpfec;480;on;on;834;3948;1534;3921;sip;off;tcp;on;false;pcmu-8000;auto;1080;on;on;1383;2184;2987;1568;Connected
h323;on;tcp;off;false;speex-16000;vp8;360;off;on;1381;3784;4860;4124;irc;on;tcp;on;auto;speex-16000;auto;360;on;on;1298;2406;627;4373;Failed
irc;on;tcp;off;true;silk-16000;auto;480;off;off;889;2943;4340;3840;iptel.org;on;tcp;besteffort;false;silk-16000;red;1080;off;on;607;2468;1661;1904;Connected
h323;off;auto;besteffort;auto;amr-wb-16000;vp8;720;off;off;718;850;1610;3860;ippi;off;tcp;besteffort;auto;auto;auto;240;on;off;875;3061;2022;613;Failed
h323;on;udp;on;auto;speex-8000;red;360;on;off;986;2170;392;3492;icq;on;tls;besteffort;auto;silk-16000;ulpfec;240;off;on;753;1819;2523;2061;Connected
h323;on;tcp;besteffort;true;g722-16000;ulpfec;1080;off;off;1193;3492;3375;732;icq;off;auto;on;true;auto;auto;720;off;off;754;1999;596;451;Failed
ippi;off;tcp;off;auto;amr-wb-16000;ulpfec;360;off;off;1122;3823;3032;3449;irc;off;tls;off;auto;silk-24000;rtx;1080;off;off;1235;1122;3064;3926;Connected
iptel.org;on;tcp;besteffort;false;g722-16000;auto;720;off;off;600;3529;3593;466;aim;on;tls;on;auto;speex-16000;rtx;480;off;on;500;2878;4025;1459;Connected
ippi;on;tcp;on;auto;silk-12000;rtx;360;off;off;606;2494;868;4627;aim;on;auto;off;true;opus-48000;red;360;on;on;1183;493;1675;4324;Failed
ippi;on;udp;on;false;speex-16000;ulpfec;480;off;off;1100;4062;536;249;ippi;on;udp;off;false;telephone-event-80000;h264;720;off;on;1069;3553;4272;2193;Failed
