product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate
googletalk;on;auto;off;auto;pcmu-8000;h264;1080;off;off;1492;1801;2861;3218;iptel.org;off;auto;off;false;amr-wb-16000;rtx;360;on;off;507;4611;52;4142
aim;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1420;1801;2861;3242;icq;on;tls;off;false;speex-8000;rtx;1080;on;on;507;2130;3009;241
sip;off;tls;off;auto;telephone-event-80000;auto;1080;off;off;873;3238;1128;449;h323;off;auto;besteffort;auto;telephone-event-80000;auto;360;on;off;507;4898;52;4142
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1404;1413;1331;3197;irc;off;tls;off;false;speex-8000;auto;360;on;off;507;4898;52;4479
googletalk;off;auto;besteffort;true;ilbc-8000;ulpfec;1080;off;off;1492;4751;1331;79;icq;on;auto;off;false;ilbc-8000;ulpfec;1080;on;on;514;3358;3415;4146
googletalk;off;auto;off;auto;pcmu-8000;auto;1080;on;off;910;2678;1581;3193;ippi;off;udp;off;true;pcma-8000;auto;360;on;off;518;4945;4027;288
googletalk;off;auto;off;auto;pcmu-8000;auto;1080;on;off;910;2678;1581;3193;ippi;off;udp;off;true;auto;auto;360;on;off;664;4945;52;4872
googletalk;off;auto;off;auto;pcmu-8000;h264;1080;on;off;838;2276;3799;3242;ippi;on;tls;off;true;pcma-8000;auto;360;on;off;500;4755;2949;4635
aim;on;auto;besteffort;true;pcmu-8000;h264;1080;off;off;1492;4751;2861;79;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;507;3358;52;4290
aim;off;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;1801;2247;3242;icq;on;tls;off;false;speex-8000;auto;720;on;off;507;4611;200;4420
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1420;1801;2861;3242;iptel.org;on;tls;off;false;speex-8000;auto;1080;on;on;507;2130;3324;428
aim;on;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1492;1277;2861;3242;iptel.org;off;tls;off;false;speex-8000;auto;720;on;on;507;4980;4770;4290
aim;on;auto;besteffort;true;pcmu-8000;h264;1080;off;off;1492;1801;2861;3218;iptel.org;off;auto;off;false;amr-wb-16000;rtx;1080;on;on;507;4980;200;4418
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1482;1465;1409;3193;ippi;off;auto;off;true;speex-8000;rtx;1080;on;on;507;2130;3009;428
googletalk;off;tcp;off;auto;telephone-event-80000;auto;1080;off;off;873;4098;4894;415;ippi;off;auto;besteffort;true;pcma-8000;auto;360;on;off;664;4945;52;4418
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1492;1801;2861;3242;icq;on;tls;off;false;speex-8000;rtx;1080;on;on;507;1014;749;4142
googletalk;on;auto;besteffort;auto;pcmu-8000;auto;1080;off;off;1492;1801;4367;3193;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;664;4945;52;4142
sip;off;tls;off;auto;telephone-event-80000;auto;1080;off;off;591;4630;3997;449;iptel.org;off;auto;besteffort;auto;auto;auto;240;on;on;664;4980;52;4290
googletalk;off;auto;off;auto;telephone-event-80000;auto;1080;off;off;591;4098;4603;3193;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;664;1262;2323;4142
googletalk;on;auto;off;auto;pcmu-8000;h264;1080;on;off;1420;1801;2861;3242;iptel.org;off;tls;off;false;speex-8000;auto;720;on;off;664;4945;52;4290
